amplitude,frequency,yrms,THDN,THD,Fs,aperture
0.121,100.0,0.12078735492992876,0.015143776845948554,0.00023347986645682532,19531.25,5.1e-05
0.121,500.0,0.12078422593035426,0.0006457299612600745,0.00020649395007425232,78125.0,1.26e-05
0.121,1000.0,0.12078294419609154,0.0006659676909184813,0.0001771472341903374,156250.0,6.2e-06
0.121,2500.0,0.12074244605136836,0.0007451596309271293,0.0003952936637151303,312500.0,3e-06
0.121,5000.0,0.12061312524117554,0.0009489308045966166,0.0006562670923716435,625000.0,1.4e-06
0.121,7500.0,0.12042746256631183,0.001128119541094192,0.000927873447875275,1250000.0,6e-07
0.121,10000.0,0.12012484700416645,0.0012312838346263755,0.0010955286208614314,1250000.0,6e-07
0.121,15000.0,0.11929985241413406,0.0014125164140683225,0.0013396001151922867,2500000.0,2e-07
0.121,30000.0,0.11503655747986817,0.0018022375694294044,0.0017380015239562342,5000000.0,0.0
1.2,100.0,1.198760676279224,0.0008973536818690777,0.0007683808672290963,19531.25,5.1e-05
1.2,500.0,1.1965766811463336,0.00092600684711666,0.0009220992731730766,78125.0,1.26e-05
1.2,1000.0,1.196536881271252,0.001380794307358463,0.00137724787072709,156250.0,6.2e-06
1.2,2500.0,1.1962217849457912,0.002935144245517998,0.002932734141717717,312500.0,3e-06
1.2,5000.0,1.1951915297661493,0.005128063046262909,0.005127617157751821,625000.0,1.4e-06
1.2,7500.0,1.1932900697132527,0.006677154577292008,0.006675512206971059,1250000.0,6e-07
1.2,10000.0,1.1904066225565397,0.007747229648559135,0.007746611617077052,1250000.0,6e-07
1.2,15000.0,1.1832797976207525,0.008811575665322296,0.008812655575882499,2500000.0,2e-07
1.2,30000.0,1.1474356165819977,0.008753214780903955,0.008788554603824224,5000000.0,0.0
